Object Name,Satellite of,Equatorial Radius [m],Mean Radius [m],Mass [kg],Bulk Density [kg m-3],Semimajor Axis [m],Sidereal Rotation Period [s],Sidereal Orbit Period (Negative Indicates Retrograde) [s],Inclination (Relative to Primary's Equator)[deg],Eccentricity,Axial Tilt [deg],Magnitude [mag],Magnitude Band [UBVRI],Geometric Albedo,Mean Gravity [m s-2],Equatorial Gravity [m-2],Escape Velocity [m s-1],Perihelion [m],Aphelion [m],Luminosity [J s-1],Orbital Motion [rad s-1],Beta Parameter [kg m-1 s-2],Core Radius [m],Mantle Thickness [m]
S_2003_J12,Jupiter,,5.00E+02,1.50E+12,2.60E+03,,,,,,,23.9,R,4.00E-02,4.00E-04,,,,,,,5.20E+02,,
S_2003_J15,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23.5,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
S_2003_J16,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23.3,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
S_2003_J18,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23.4,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
S_2003_J19,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23.7,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
S_2003_J23,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23.6,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
S_2010_J1,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23.2,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
S_2010_J2,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,24,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
S_2011_J1,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23.7,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
S_2011_J2,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23.5,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
Mimas,Saturn,,1.98E+05,3.75E+19,1.15E+03,1.86E+08,8.14E+04,8.14E+04,1.53,0.02,,12.8,V0,9.62E-01,6.37E-02,,,,,,7.72E-05,1.45E+07,,
Enceladus,Saturn,,2.52E+05,1.08E+20,1.61E+03,2.38E+08,1.18E+05,1.18E+05,0.01,0,,11.8,V0,1.38E+00,1.13E-01,,,,,,5.31E-05,4.60E+07,,
Tethys,Saturn,,5.33E+05,6.18E+20,9.73E+02,2.95E+08,1.63E+05,1.63E+05,1.86,0,,10.2,V0,1.23E+00,1.45E-01,,,,,,3.85E-05,7.52E+07,,
Dione,Saturn,,5.62E+05,1.10E+21,1.48E+03,3.77E+08,2.37E+05,2.37E+05,0.02,0,,10.4,V0,9.98E-01,2.32E-01,,,,,,2.66E-05,1.92E+08,,
Rhea,Saturn,,7.64E+05,2.31E+21,1.23E+03,5.27E+08,3.90E+05,3.90E+05,0.35,0,,9.6,V0,9.49E-01,2.64E-01,,,,,,1.61E-05,2.48E+08,,
